Block,Pattern,Item,Tag,X_Coordination,Y_Coordination,Z_Coordination
AR-difficult,18,Blue Pyramids,Other Object,(2.7, 0.3, 0.0)
AR-difficult,19,Yellow Pyramids,Other Object,(2.7, 2.1, -0.8)
AR-difficult,19,Yellow Cylinder,Other Object,(2.0, 0.4, -1.0)
AR-difficult,19,Yellow Sphere,Other Object,(2.4, 0.3, 0.7)
AR-difficult,19,Yellow Cube,Other Object,(2.8, 1.1, -1.4)
AR-difficult,19,Yellow Sphere,Other Object,(2.0, 1.7, 0.6)
AR-difficult,19,Yellow Cube,Other Object,(0.9, 0.8, 0.0)
AR-difficult,19,Yellow Cylinder,Other Object,(0.6, 1.3, -0.3)
AR-difficult,19,Blue Pyramids,Other Object,(2.6, 1.6, 1.0)
AR-difficult,19,Purple Pyramids,Other Object,(2.7, 1.5, 1.6)
AR-difficult,19,Purple Pyramids,Other Object,(2.2, 0.7, 1.6)
AR-difficult,19,Purple Pyramids,Other Object,(2.8, 2.2, 1.2)
AR-difficult,19,Red Pyramids,Other Object,(1.8, 0.6, 0.2)
AR-difficult,19,Red Pyramids,Other Object,(1.3, 1.5, -0.4)
AR-difficult,19,Red Cylinder,Other Object,(0.6, 0.9, 0.7)
AR-difficult,19,Blue Cylinder,Other Object,(2.0, 1.5, -0.7)
AR-difficult,19,Red Cube,Other Object,(2.3, 1.7, 0.0)
AR-difficult,19,Purple Cylinder,Other Object,(2.6, 2.1, 0.1)
AR-difficult,19,Blue Cube,Other Object,(1.3, 1.9, 1.2)
AR-difficult,19,Purple Cylinder,Other Object,(2.6, 0.2, 0.1)
AR-difficult,20,Blue Sphere,Other Object,(1.9, 1.9, 0.5)
AR-difficult,20,Blue Cube,Other Object,(2.2, 2.1, 1.6)
AR-difficult,20,Blue Cylinder,Other Object,(2.6, 1.9, 0.0)
AR-difficult,20,Blue Cylinder,Other Object,(1.4, 0.8, -0.1)
AR-difficult,20,Blue Pyramids,Other Object,(2.6, 1.8, -1.2)
AR-difficult,20,Blue Cylinder,Other Object,(1.4, 1.4, 0.0)
AR-difficult,20,Blue Cylinder,Other Object,(2.2, 0.5, 1.2)
AR-difficult,20,Purple Sphere,Other Object,(2.4, 1.7, 0.6)
AR-difficult,20,Yellow Sphere,Other Object,(1.6, 0.5, -0.6)
AR-difficult,20,Yellow Sphere,Other Object,(1.2, 1.8, -0.2)
AR-difficult,20,Purple Sphere,Other Object,(2.6, 0.8, -1.0)
AR-difficult,20,Purple Sphere,Other Object,(2.1, 1.0, -0.1)
AR-difficult,20,Yellow Sphere,Other Object,(0.9, 1.3, -0.5)
AR-difficult,20,Purple Cube,Other Object,(1.8, 0.9, 0.3)
AR-difficult,20,Purple Pyramids,Other Object,(1.2, 1.7, 0.9)
AR-difficult,20,Purple Cylinder,Other Object,(2.1, 0.5, -0.5)
AR-difficult,20,Purple Pyramids,Other Object,(1.7, 0.5, 0.7)
AR-difficult,20,Yellow Pyramids,Other Object,(2.4, 0.5, 0.3)
AR-difficult,20,Purple Cube,Other Object,(1.8, 1.0, -0.9)
Block,Pattern,Item,Tag,X_Coordination,Y_Coordination,Z_Coordination
AR-difficult,22,Yellow Sphere,Other Object,(2.3, 0.9, -1.2)
AR-difficult,23,Yellow Cylinder,Other Object,(2.7, 2.1, -0.3)
AR-difficult,24,Blue Cylinder,Other Object,(2.6, 2.0, 0.2)
AR-difficult,25,Blue Pyramids,Other Object,(2.6, 1.0, -1.3)
AR-difficult,26,Yellow Cube,Other Object,(2.8, 1.1, -1.5)
AR-difficult,27,Yellow Cylinder,Other Object,(2.2, 0.8, -1.1)
AR-difficult,28,Yellow Pyramids,Other Object,(0.6, 1.2, 0.1)
AR-difficult,29,Yellow Sphere,Other Object,(1.5, 0.8, -0.1)
AR-difficult,30,Red Cube,Other Object,(2.6, 1.3, -0.3)
Block,Pattern,Item,Tag,X_Coordination,Y_Coordination,Z_Coordination
1688032400500,AR-easy,1,Purple Sphere,Target,2.641571,1.549321,-1.335217
1688032400500,AR-easy,1,Purple Cylinder,Same Color,2.38218,1.155298,1.248149
1688032400500,AR-easy,1,Purple Pyramids,Same Color,1.349124,1.562815,0.819905
1688032400500,AR-easy,1,Purple Pyramids,Same Color,2.386744,0.6901538,-1.233053
1688032400500,AR-easy,1,Purple Cube,Same Color,1.701819,0.403022,-0.08244407
1688032400500,AR-easy,1,Purple Cube,Same Color,1.709819,1.208631,0.8009222
1688032400500,AR-easy,1,Purple Cylinder,Same Color,2.388266,0.7962076,-0.02043706
1688032400500,AR-easy,1,Red Sphere,Same Shape,2.510539,0.1687061,-0.9300974
1688032400500,AR-easy,1,Blue Sphere,Same Shape,0.8235847,1.710491,0.2612094
1688032400500,AR-easy,1,Red Sphere,Same Shape,2.51662,2.159662,1.659271
1688032400500,AR-easy,1,Yellow Sphere,Same Shape,1.856938,1.950302,-0.4475597
1688032400500,AR-easy,1,Blue Sphere,Same Shape,1.823484,1.004232,1.455843
1688032400500,AR-easy,1,Yellow Sphere,Same Shape,2.198073,0.3736574,0.8643512
1688032400500,AR-easy,1,Yellow Cube,Different,0.9356687,0.8475586,0.2303882
1688032400500,AR-easy,1,Blue Pyramids,Different,2.641396,0.3339131,1.344049
1688032400500,AR-easy,1,Red Pyramids,Different,2.347048,2.013773,-0.2663588
1688032400500,AR-easy,1,Yellow Cube,Different,1.343039,0.8230454,1.302886
1688032400500,AR-easy,1,Red Cylinder,Different,1.785005,1.81079,1.317981
1688032400500,AR-easy,1,Red Cylinder,Different,2.706652,2.192246,0.3064182
1688032403257,AR-easy,2,Red Cylinder,Target,2.444664,1.706248,-0.6901976
1688032403257,AR-easy,2,Red Pyramids,Same Color,2.72336,0.9133992,1.557464
1688032403257,AR-easy,2,Red Sphere,Same Color,1.343697,1.676439,-0.7775345
1688032403257,AR-easy,2,Red Sphere,Same Color,2.211785,0.9548995,-0.215684
1688032403257,AR-easy,2,Red Sphere,Same Color,1.836277,1.002506,-0.9472326
1688032403257,AR-easy,2,Red Pyramids,Same Color,1.021323,1.499654,-0.1265704
1688032403257,AR-easy,2,Red Sphere,Same Color,2.763663,0.403009,-0.4849814
1688032403257,AR-easy,2,Blue Cylinder,Same Shape,1.588982,1.000516,-0.5086846
1688032403257,AR-easy,2,Blue Cylinder,Same Shape,2.101324,1.68816,1.235047
1688032403257,AR-easy,2,Yellow Cylinder,Same Shape,1.926801,1.010434,0.7854236
1688032403257,AR-easy,2,Purple Cylinder,Same Shape,2.433286,0.3871837,0.2592804
1688032403257,AR-easy,2,Blue Cylinder,Same Shape,2.289786,1.013815,1.305381
1688032403257,AR-easy,2,Yellow Cylinder,Same Shape,2.554122,0.3647282,0.9684689
1688032403257,AR-easy,2,Purple Sphere,Different,0.8015734,0.8842635,-0.04756844
1688032403257,AR-easy,2,Purple Sphere,Different,2.448685,2.211406,-0.5627958
1688032403257,AR-easy,2,Yellow Pyramids,Different,1.401676,0.8327051,0.3735004
1688032403257,AR-easy,2,Yellow Sphere,Different,2.723482,1.290955,-0.1512173
1688032403257,AR-easy,2,Yellow Cube,Different,2.607556,1.501406,1.789039
1688032403257,AR-easy,2,Blue Cube,Different,1.35972,1.343763,0.4996844
1688032405524,AR-easy,3,Blue Cylinder,Target,1.510803,0.7893836,0.4941874
1688032405524,AR-easy,3,Blue Cube,Same Color,2.001481,1.381485,-0.627815
1688032405524,AR-easy,3,Blue Sphere,Same Color,2.39237,0.8059474,-0.8619283
1688032405524,AR-easy,3,Blue Pyramids,Same Color,2.758732,0.2927233,0.3142489
1688032405524,AR-easy,3,Blue Sphere,Same Color,2.107038,0.8880144,-0.2721565
1688032405524,AR-easy,3,Blue Sphere,Same Color,1.234003,1.04231,-0.6838653
1688032405524,AR-easy,3,Blue Cube,Same Color,2.678739,1.370398,-0.1797455
1688032405524,AR-easy,3,Yellow Cylinder,Same Shape,1.693594,1.989482,-0.8133429
1688032405524,AR-easy,3,Red Cylinder,Same Shape,2.666475,1.923284,0.5454602
1688032405524,AR-easy,3,Yellow Cylinder,Same Shape,0.8369454,1.734392,0.3044756
1688032405524,AR-easy,3,Purple Cylinder,Same Shape,2.383646,0.7264675,0.337059
1688032405524,AR-easy,3,Red Cylinder,Same Shape,0.7874718,1.27075,-0.4106241
1688032405524,AR-easy,3,Purple Cylinder,Same Shape,2.661225,0.1421107,-1.4053
1688032405524,AR-easy,3,Purple Sphere,Different,2.258512,0.9552278,0.8265556
1688032405524,AR-easy,3,Yellow Pyramids,Different,2.671725,1.082855,1.781381
1688032405524,AR-easy,3,Red Sphere,Different,1.782204,0.8456128,1.234308
1688032405524,AR-easy,3,Purple Cube,Different,2.21133,1.750272,1.049765
1688032405524,AR-easy,3,Red Sphere,Different,2.608011,1.605325,-0.9671218
1688032405524,AR-easy,3,Purple Cube,Different,2.301121,2.054802,-0.3336431
1688032408290,AR-easy,4,Blue Pyramids,Target,1.379742,1.19914,-0.1781423
1688032408290,AR-easy,4,Blue Sphere,Same Color,2.703953,2.217195,1.231225
1688032408290,AR-easy,4,Blue Cylinder,Same Color,0.8402031,1.049554,0.3510275
1688032408290,AR-easy,4,Blue Sphere,Same Color,2.092915,1.329508,-0.142574
1688032408290,AR-easy,4,Blue Cube,Same Color,2.643475,1.363147,-0.4682193
1688032408290,AR-easy,4,Blue Cube,Same Color,2.362704,0.9959819,1.404698
1688032408290,AR-easy,4,Blue Sphere,Same Color,2.687046,1.853863,0.6196628
1688032408290,AR-easy,4,Yellow Pyramids,Same Shape,0.7500155,1.587198,0.9071083
1688032408290,AR-easy,4,Yellow Pyramids,Same Shape,2.682628,0.5885252,-0.4840158
1688032408290,AR-easy,4,Yellow Pyramids,Same Shape,2.052777,1.799546,-0.6160457
1688032408290,AR-easy,4,Yellow Pyramids,Same Shape,1.581544,1.856529,0.4369461
1688032408290,AR-easy,4,Yellow Pyramids,Same Shape,2.626727,2.094079,-1.070426
1688032408290,AR-easy,4,Red Pyramids,Same Shape,2.156886,1.941545,0.2308209
1688032408290,AR-easy,4,Red Cube,Different,2.560643,0.3454519,0.8325524
1688032408290,AR-easy,4,Yellow Cylinder,Different,1.694116,1.036157,-0.6045913
1688032408290,AR-easy,4,Red Sphere,Different,2.020558,1.263009,0.7649252
1688032408290,AR-easy,4,Purple Sphere,Different,1.042578,1.616206,-0.4019715
1688032408290,AR-easy,4,Red Cylinder,Different,1.604114,0.5901271,-0.8836711
1688032408290,AR-easy,4,Purple Cube,Different,2.425779,0.9211654,0.6399086
1688032410557,AR-easy,5,Blue Cube,Target,1.957087,0.6735518,1.391609
1688032410557,AR-easy,5,Blue Pyramids,Same Color,1.578383,1.745642,-0.004674375
1688032410557,AR-easy,5,Blue Pyramids,Same Color,1.258472,1.143816,1.070038
1688032410557,AR-easy,5,Blue Sphere,Same Color,2.75354,2.277276,-0.2874694
1688032410557,AR-easy,5,Blue Sphere,Same Color,1.930132,1.6336,-0.5603865
1688032410557,AR-easy,5,Blue Sphere,Same Color,2.358902,0.6001225,-0.4220299
1688032410557,AR-easy,5,Blue Pyramids,Same Color,2.591763,1.032601,-1.205641
1688032410557,AR-easy,5,Yellow Cube,Same Shape,2.419106,2.039634,-0.7124496
1688032410557,AR-easy,5,Yellow Cube,Same Shape,2.472832,1.129448,1.017954
1688032410557,AR-easy,5,Red Cube,Same Shape,1.613425,1.736845,0.5136997
1688032410557,AR-easy,5,Yellow Cube,Same Shape,2.668729,2.083337,1.191579
1688032410557,AR-easy,5,Yellow Cube,Same Shape,2.41837,1.662511,-0.2667716
1688032410557,AR-easy,5,Purple Cube,Same Shape,2.747078,1.451371,-0.6647475
1688032410557,AR-easy,5,Purple Cylinder,Different,2.255108,1.878892,0.4611096
1688032410557,AR-easy,5,Purple Sphere,Different,1.739148,0.6564695,0.597226
1688032410557,AR-easy,5,Yellow Cylinder,Different,1.614032,1.264544,-0.2494488
1688032410557,AR-easy,5,Purple Cylinder,Different,0.6060578,0.8883204,-0.2747625
1688032410557,AR-easy,5,Purple Pyramids,Different,1.143153,0.5820077,-0.6201021
1688032410557,AR-easy,5,Yellow Sphere,Different,1.798039,0.4076753,-0.2988881
1688032485083,AR-easy,1,Yellow Cylinder,Target,1.87589,1.305138,-0.9849241
1688032485083,AR-easy,1,Yellow Pyramids,Same Color,0.75053,1.260594,0.7530121
1688032485083,AR-easy,1,Yellow Cube,Same Color,1.746418,0.8243471,0.8702167
1688032485083,AR-easy,1,Yellow Sphere,Same Color,2.349198,1.474956,-0.5656499
1688032485083,AR-easy,1,Yellow Sphere,Same Color,2.261842,1.615755,0.3898607
1688032485083,AR-easy,1,Yellow Sphere,Same Color,1.759231,1.169521,-0.4756296
1688032485083,AR-easy,1,Yellow Sphere,Same Color,2.277383,0.9086001,1.320914
1688032485083,AR-easy,1,Purple Cylinder,Same Shape,2.529498,0.6412554,0.3640816
1688032485083,AR-easy,1,Red Cylinder,Same Shape,0.9215585,1.75673,0.8099832
1688032485083,AR-easy,1,Purple Cylinder,Same Shape,0.6709706,1.491049,0.07378602
1688032485083,AR-easy,1,Red Cylinder,Same Shape,1.730503,0.9048802,1.42261
1688032485083,AR-easy,1,Purple Cylinder,Same Shape,2.193538,0.3485865,-0.3874114
1688032485083,AR-easy,1,Red Cylinder,Same Shape,1.605096,1.360483,0.8309467
1688032485083,AR-easy,1,Purple Pyramids,Different,2.748719,1.288458,0.6690852
1688032485083,AR-easy,1,Purple Pyramids,Different,2.595533,1.852084,1.116789
1688032485083,AR-easy,1,Red Cube,Different,2.652081,2.07192,-1.18224
1688032485083,AR-easy,1,Red Cube,Different,0.6123227,0.8723494,0.106425
1688032485083,AR-easy,1,Blue Cube,Different,1.755051,1.449465,0.3484704
1688032485083,AR-easy,1,Blue Pyramids,Different,1.005188,0.6439466,0.7280495
1688219911554,VR-difficult,1,Yellow Pyramids,Target,2.337367,0.4578566,-0.2789501
1688219911554,VR-difficult,1,Yellow Sphere,Same Color,1.126648,1.801431,0.3746324
1688219911554,VR-difficult,1,Yellow Sphere,Same Color,2.080136,1.247953,1.55914
1688219911554,VR-difficult,1,Yellow Cylinder,Same Color,0.8477792,1.390216,0.5670377
1688219911554,VR-difficult,1,Yellow Cube,Same Color,1.198962,1.541725,-0.1022725
1688219911554,VR-difficult,1,Yellow Cube,Same Color,0.7856312,0.8689987,0.8480238
1688219911554,VR-difficult,1,Yellow Cylinder,Same Color,2.55339,1.14591,-1.1509
1688219911554,VR-difficult,1,Yellow Cylinder,Same Color,1.435729,1.760597,-0.8414977
1688219911554,VR-difficult,1,Yellow Cube,Same Color,2.1161,1.31046,0.4508976
1688219911554,VR-difficult,1,Yellow Sphere,Same Color,2.472777,2.077255,-1.245093
1688219911554,VR-difficult,1,Yellow Sphere,Same Color,2.650307,0.1631181,1.676686
1688219911554,VR-difficult,1,Yellow Cube,Same Color,2.541653,1.551491,1.032266
1688219911554,VR-difficult,1,Yellow Cube,Same Color,2.191935,0.4919357,1.065628
1688219911554,VR-difficult,1,Red Pyramids,Same Shape,1.892545,0.5356423,0.5674818
1688219911554,VR-difficult,1,Red Pyramids,Same Shape,2.63344,0.8624275,1.299579
1688219911554,VR-difficult,1,Blue Pyramids,Same Shape,2.50145,0.8126346,0.09271282
1688219911554,VR-difficult,1,Red Pyramids,Same Shape,1.749758,1.966211,0.9303195
1688219911554,VR-difficult,1,Blue Pyramids,Same Shape,0.9677594,1.05292,-0.6279682
1688219911554,VR-difficult,1,Blue Pyramids,Same Shape,1.753486,0.5410033,-0.4018386
1688219911554,VR-difficult,1,Red Pyramids,Same Shape,0.6536332,0.7244775,-0.02821946
1688219911554,VR-difficult,1,Blue Pyramids,Same Shape,1.839448,1.164731,-1.060906
1688219911554,VR-difficult,1,Red Pyramids,Same Shape,2.547271,0.6347377,-0.8413824
1688219911554,VR-difficult,1,Purple Pyramids,Same Shape,1.72446,1.475612,1.095263
1688219911554,VR-difficult,1,Red Pyramids,Same Shape,2.172901,1.91412,0.2463117
1688219911554,VR-difficult,1,Red Pyramids,Same Shape,1.142262,1.425157,0.9947105
1688219911554,VR-difficult,1,Red Sphere,Different,2.132169,1.572935,-0.7308737
1688219911554,VR-difficult,1,Blue Cube,Different,2.740781,1.293797,-0.5023181
1688219911554,VR-difficult,1,Blue Sphere,Different,2.729787,1.98126,0.8192729
1688219911554,VR-difficult,1,Purple Cube,Different,1.716976,0.7395409,0.1150025
1688219911554,VR-difficult,1,Red Cube,Different,2.455616,1.022036,0.75365
1688219911554,VR-difficult,1,Purple Sphere,Different,0.7766875,1.730172,-0.3441582
1688219911554,VR-difficult,1,Purple Cube,Different,2.554497,1.651697,0.04081261
1688219911554,VR-difficult,1,Red Cylinder,Different,2.60855,2.073972,1.501119
1688219911554,VR-difficult,1,Red Cube,Different,2.584604,2.204339,-0.106957
1688219911554,VR-difficult,1,Blue Cylinder,Different,0.4375403,1.607446,0.2057083
1688219911554,VR-difficult,1,Purple Cube,Different,1.60392,1.540459,0.5478216
1688219911554,VR-difficult,1,Blue Cube,Different,1.704472,1.593069,-0.2109463
1688219918822,VR-difficult,2,Blue Sphere,Target,2.124228,0.6786556,0.2537053
1688219918822,VR-difficult,2,Blue Cube,Same Color,2.54267,1.000262,1.385119
1688219918822,VR-difficult,2,Blue Cube,Same Color,2.762101,1.336029,-1.05569
1688219918822,VR-difficult,2,Blue Pyramids,Same Color,2.765049,1.747774,1.007485
1688219918822,VR-difficult,2,Blue Pyramids,Same Color,0.9722672,0.6178449,0.6977897
1688219918822,VR-difficult,2,Blue Cube,Same Color,1.48956,1.279003,0.2344217
1688219918822,VR-difficult,2,Blue Cube,Same Color,1.34224,0.7607657,-0.4501721
1688219918822,VR-difficult,2,Blue Cylinder,Same Color,2.547007,2.231343,-0.2027247
1688219918822,VR-difficult,2,Blue Cylinder,Same Color,1.207824,1.227556,-0.6685584
1688219918822,VR-difficult,2,Blue Cylinder,Same Color,1.908154,0.8118234,1.466031
1688219918822,VR-difficult,2,Blue Cube,Same Color,0.8640356,0.8624821,-0.1462631
1688219918822,VR-difficult,2,Blue Cube,Same Color,1.517577,1.607468,0.6584274
1688219918822,VR-difficult,2,Blue Pyramids,Same Color,1.946409,1.687965,-0.2012579
1688219918822,VR-difficult,2,Red Sphere,Same Shape,2.572178,0.3613918,0.6398179
1688219918822,VR-difficult,2,Red Sphere,Same Shape,1.884199,0.3760798,-0.5623952
1688219918822,VR-difficult,2,Purple Sphere,Same Shape,2.144701,2.072469,1.323583
1688219918822,VR-difficult,2,Yellow Sphere,Same Shape,2.320601,2.080334,-0.6645199
1688219918822,VR-difficult,2,Yellow Sphere,Same Shape,1.451095,1.089691,0.7951136
1688219918822,VR-difficult,2,Red Sphere,Same Shape,2.072763,1.612461,0.2999034
1688219918822,VR-difficult,2,Purple Sphere,Same Shape,2.413184,2.058192,0.7213206
1688219918822,VR-difficult,2,Red Sphere,Same Shape,1.120813,1.540717,-0.1124389
1688219918822,VR-difficult,2,Red Sphere,Same Shape,2.238459,0.6054703,-1.075818
1688219918822,VR-difficult,2,Red Sphere,Same Shape,2.624702,2.158534,-1.220704
1688219918822,VR-difficult,2,Purple Sphere,Same Shape,2.547314,1.686222,1.506693
1688219918822,VR-difficult,2,Red Sphere,Same Shape,1.946833,0.442769,0.851318
1688219918822,VR-difficult,2,Yellow Cube,Different,0.8970972,1.731293,0.6640396
1688219918822,VR-difficult,2,Red Cube,Different,2.433797,1.733313,-1.030201
1688219918822,VR-difficult,2,Yellow Cube,Different,0.4172629,1.393891,0.2391969
1688219918822,VR-difficult,2,Yellow Cylinder,Different,2.48176,0.2368596,-1.333808
1688219918822,VR-difficult,2,Red Cube,Different,2.679208,1.62861,0.09211886
1688219918822,VR-difficult,2,Purple Pyramids,Different,1.461023,1.302836,1.27448
1688219918822,VR-difficult,2,Purple Cylinder,Different,2.717047,0.7859955,-0.2623878
1688219918822,VR-difficult,2,Yellow Cube,Different,2.384654,1.381126,-0.495681
1688219918822,VR-difficult,2,Purple Pyramids,Different,2.056114,1.415891,1.010331
1688219918822,VR-difficult,2,Red Cube,Different,2.150639,0.7652289,-0.2798256
1688219918822,VR-difficult,2,Red Cylinder,Different,2.666993,0.3347773,0.07928264
1688219918822,VR-difficult,2,Red Cylinder,Different,2.63654,0.2372809,-0.5575043
1688220290419,VR-difficult,0,Red Cylinder,Target,2.533877,2.236073,-0.9556613
1688220290419,VR-difficult,0,Red Cube,Same Color,1.220328,0.9425283,1.215308
1688220290419,VR-difficult,0,Red Pyramids,Same Color,2.702829,0.9714043,0.6283505
1688220290419,VR-difficult,0,Red Sphere,Same Color,2.631332,1.751984,0.7855536
1688220290419,VR-difficult,0,Red Pyramids,Same Color,2.460434,1.662133,-0.0659923
1688220290419,VR-difficult,0,Red Pyramids,Same Color,2.414439,0.4885492,-0.3743663
1688220290419,VR-difficult,0,Red Sphere,Same Color,2.607472,0.9632376,-0.1255478
1688220290419,VR-difficult,0,Red Sphere,Same Color,2.744924,1.335712,1.228368
1688220290419,VR-difficult,0,Red Pyramids,Same Color,0.9766566,1.494604,0.5955293
1688220290419,VR-difficult,0,Red Cube,Same Color,1.122499,0.9808911,0.2862651
1688220290419,VR-difficult,0,Red Pyramids,Same Color,1.33663,1.794536,-0.4948277
1688220290419,VR-difficult,0,Red Sphere,Same Color,2.350262,1.189131,0.2427117
1688220290419,VR-difficult,0,Red Cube,Same Color,2.154699,1.408136,-0.5402936
1688220290419,VR-difficult,0,Yellow Cylinder,Same Shape,2.473359,0.6187903,0.9000678
1688220290419,VR-difficult,0,Blue Cylinder,Same Shape,1.504606,1.313226,-0.2424067
1688220290419,VR-difficult,0,Blue Cylinder,Same Shape,2.112825,2.057656,0.3968607
1688220290419,VR-difficult,0,Purple Cylinder,Same Shape,1.746179,0.5482038,-0.2625467
1688220290419,VR-difficult,0,Purple Cylinder,Same Shape,0.7457987,0.8707857,0.8086193
1688220290419,VR-difficult,0,Purple Cylinder,Same Shape,1.775278,1.126548,0.8493186
1688220290419,VR-difficult,0,Yellow Cylinder,Same Shape,1.837149,1.322788,-1.071316
1688220290419,VR-difficult,0,Purple Cylinder,Same Shape,2.152278,0.8220766,-1.186093
1688220290419,VR-difficult,0,Blue Cylinder,Same Shape,2.139161,0.440563,0.1018449
1688220290419,VR-difficult,0,Blue Cylinder,Same Shape,2.261871,2.06976,1.561608
1688220290419,VR-difficult,0,Purple Cylinder,Same Shape,1.791227,1.929655,0.9905576
1688220290419,VR-difficult,0,Blue Cylinder,Same Shape,1.78354,0.5880611,0.5666212
1688220290419,VR-difficult,0,Yellow Sphere,Different,1.800507,1.635979,0.2902905
1688220290419,VR-difficult,0,Yellow Cube,Different,1.703483,1.052821,0.205341
1688220290419,VR-difficult,0,Yellow Pyramids,Different,2.210281,0.3855688,1.509112
1688220290419,VR-difficult,0,Blue Sphere,Different,1.384578,0.5326471,-0.724192
1688220290419,VR-difficult,0,Yellow Pyramids,Different,2.62005,1.835439,-0.5140532
1688220290419,VR-difficult,0,Blue Cube,Different,2.730218,1.001638,-0.8684337
1688220290419,VR-difficult,0,Purple Cube,Different,2.646897,0.2466477,-1.432953
1688220290419,VR-difficult,0,Blue Pyramids,Different,2.555169,0.1467369,0.3786208
1688220290419,VR-difficult,0,Purple Cube,Different,0.9538674,1.510973,-0.2883117
1688220290419,VR-difficult,0,Purple Sphere,Different,0.8621054,0.7198345,-0.3171304
1688220290419,VR-difficult,0,Purple Pyramids,Different,2.678162,2.092078,0.1584934
1688220290419,VR-difficult,0,Blue Pyramids,Different,1.273118,1.862018,0.2483724
1688220298181,VR-difficult,1,Yellow Cylinder,Target,2.395378,2.105773,0.1817293
1688220298181,VR-difficult,1,Yellow Pyramids,Same Color,2.504024,1.071095,0.6926501
1688220298181,VR-difficult,1,Yellow Sphere,Same Color,1.675804,1.399317,0.9709867
1688220298181,VR-difficult,1,Yellow Cube,Same Color,1.041538,0.6289255,1.134195
1688220298181,VR-difficult,1,Yellow Sphere,Same Color,2.640357,2.099404,-0.4338487
1688220298181,VR-difficult,1,Yellow Sphere,Same Color,2.142023,0.7775508,1.007457
1688220298181,VR-difficult,1,Yellow Cube,Same Color,2.231753,1.7268,-0.2781228
1688220298181,VR-difficult,1,Yellow Cube,Same Color,1.170886,1.295895,-0.01252019
1688220298181,VR-difficult,1,Yellow Sphere,Same Color,2.19154,1.068168,-0.3960705
1688220298181,VR-difficult,1,Yellow Cube,Same Color,0.5282103,1.172799,0.9169258
1688220298181,VR-difficult,1,Yellow Sphere,Same Color,1.825514,0.9055702,1.505514
1688220298181,VR-difficult,1,Yellow Sphere,Same Color,2.733561,2.256262,1.234564
1688220298181,VR-difficult,1,Yellow Cube,Same Color,1.166431,1.800095,-0.2221919
1688220298181,VR-difficult,1,Red Cylinder,Same Shape,2.448249,0.2164521,1.236812
1688220298181,VR-difficult,1,Red Cylinder,Same Shape,0.4644518,1.384697,0.08162403
1688220298181,VR-difficult,1,Purple Cylinder,Same Shape,0.4789873,1.656029,0.7059219
1688220298181,VR-difficult,1,Purple Cylinder,Same Shape,2.448633,1.925185,-1.22146
1688220298181,VR-difficult,1,Blue Cylinder,Same Shape,2.246917,1.232515,-1.166627
1688220298181,VR-difficult,1,Red Cylinder,Same Shape,2.401987,0.7980943,0.2079214
1688220298181,VR-difficult,1,Red Cylinder,Same Shape,2.123794,1.620092,1.437754
1688220298181,VR-difficult,1,Purple Cylinder,Same Shape,1.800234,0.4144502,1.076651
1688220298181,VR-difficult,1,Blue Cylinder,Same Shape,1.700397,1.722056,0.241451
1688220298181,VR-difficult,1,Purple Cylinder,Same Shape,2.658064,2.222769,1.854811
1688220298181,VR-difficult,1,Purple Cylinder,Same Shape,2.329132,0.6322861,-0.6557746
1688220298181,VR-difficult,1,Purple Cylinder,Same Shape,2.727276,0.5410264,-0.08792979
1688220298181,VR-difficult,1,Red Sphere,Different,2.542706,1.493098,-0.6296725
1688220298181,VR-difficult,1,Purple Sphere,Different,2.749689,0.9805511,-1.347484
1688220298181,VR-difficult,1,Purple Cube,Different,2.541124,1.829185,0.6520313
1688220298181,VR-difficult,1,Purple Pyramids,Different,1.324782,0.5145158,-0.3841469
1688220298181,VR-difficult,1,Red Pyramids,Different,1.651684,1.158625,-0.2143059
1688220298181,VR-difficult,1,Blue Cube,Different,0.5585579,0.923727,-0.4974768
1688220298181,VR-difficult,1,Blue Pyramids,Different,1.796491,2.060305,-0.2292125
1688220298181,VR-difficult,1,Blue Sphere,Different,1.555543,1.24515,-0.929108
1688220298181,VR-difficult,1,Red Pyramids,Different,1.659297,0.9430968,0.5434967
1688220298181,VR-difficult,1,Purple Cube,Different,1.920454,1.932472,-0.8681131
1688220298181,VR-difficult,1,Red Sphere,Different,2.62696,0.3294701,0.4101405
1688220298181,VR-difficult,1,Red Sphere,Different,2.570204,0.1474773,-0.3821017
1688220305948,VR-difficult,2,Blue Pyramids,Target,1.635098,0.8197339,0.6757731
1688220305948,VR-difficult,2,Blue Cylinder,Same Color,1.88694,0.7351056,-0.4380561
1688220305948,VR-difficult,2,Blue Sphere,Same Color,1.543083,1.99824,1.201605
1688220305948,VR-difficult,2,Blue Cube,Same Color,2.568148,0.4790355,0.8761798
1688220305948,VR-difficult,2,Blue Cylinder,Same Color,2.291191,0.8301053,0.2181061
1688220305948,VR-difficult,2,Blue Sphere,Same Color,2.661421,1.120304,0.5580409
1688220305948,VR-difficult,2,Blue Cylinder,Same Color,2.576189,1.260909,-0.2982215
1688220305948,VR-difficult,2,Blue Cylinder,Same Color,1.72048,1.330361,0.01111919
1688220305948,VR-difficult,2,Blue Sphere,Same Color,2.607967,1.879585,0.04070252
1688220305948,VR-difficult,2,Blue Sphere,Same Color,1.261048,1.10788,1.12297
1688220305948,VR-difficult,2,Blue Cylinder,Same Color,1.220669,1.781957,0.2471158
